resource_id,timestamp,period_days,cpu_utilization_p50,cpu_utilization_p90,cpu_utilization_p95,memory_utilization_p50,memory_utilization_p90,memory_utilization_p95,network_in,network_out,is_idle,burst_balance,iops_write,iops_read,throughput_read,throughput_write,uptime_status,cpu_utilization_min,cpu_utilization_max,cpu_utilization_stddev,cpu_utilization_trend,cpu_utilization_volatility,cpu_utilization_peak_hours,cpu_utilization_patterns,cpu_timeseries_data,object_count,storage_used,requests_get,requests_put
vol-0857ce367bcc848b0,2025-07-07T16:00:00+00:00,30,,,,,,,,,False,99.42609382982717,11.691648429322752,0.03805555555555555,8738.133333333333,352616.61080914503,,,,,,,,,,,,,
vol-0d404c2b972e09878,2025-08-22T19:00:00+00:00,30,,,,,,,,,False,,,1.2800342999859646,,,,,,,,,,,,,,,
i-0bf93f00183d3e7f0,2025-09-11T16:00:00+00:00,30,2.5079759204996113,3.0095711045995333,3.970323672612044,,,,,,False,,,,,,,,,,,,,,,,,,
i-04d06bd78b75cfe3b,2025-09-11T16:00:00+00:00,30,3.1632572804704058,3.7959087365644866,3.7206832364138,,,,,,False,,,,,,,,,,,,,,,,,,
out,2025-09-18T17:26:08.855485,30,,,,,,,,150293.9200854701,False,,,,,,,,,,,,,,,,,,
in,2025-09-18T17:26:08.856278,30,,,,,,,52310393.287606835,,False,,,,,,,,,,,,,,,,,,
i-07350153600c3b3ba,2025-06-26T09:00:00+00:00,30,31.558527713391758,37.87023325607011,98.41283829383792,,,,,,False,,,,,,,,,,,,,,,,,,
i-05ea7a5068995a703,2025-09-18T17:26:08.877812,30,21.356878289054933,28.253947522901935,32.56426082417254,,,,,,False,,,,,,unknown,0.1322991650877208,46.126745566010456,7.649502602821899,stable,moderate,[0],"{""slope"": -0.0988, ""coefficient_of_variation"": 0.358, ""mean"": 21.36, ""data_points"": 92, ""time_span_days"": 92}","[{""timestamp"": ""2025-08-13T00:00:00+00:00"", ""value"": 21.490713232473006}, {""timestamp"": ""2025-08-14T00:00:00+00:00"", ""value"": 32.56426082417254}, {""timestamp"": ""2025-08-15T00:00:00+00:00"", ""value"": 20.789196871118033}, {""timestamp"": ""2025-08-16T00:00:00+00:00"", ""value"": 20.1950015597877}, {""timestamp"": ""2025-08-17T00:00:00+00:00"", ""value"": 24.53920814482958}, {""timestamp"": ""2025-08-18T00:00:00+00:00"", ""value"": 3.5096493598917036}, {""timestamp"": ""2025-08-19T00:00:00+00:00"", ""value"": 21.361707587737342}, {""timestamp"": ""2025-08-20T00:00:00+00:00"", ""value"": 15.903716725796064}, {""timestamp"": ""2025-08-21T00:00:00+00:00"", ""value"": 0.1517039963741755}, {""timestamp"": ""2025-08-22T00:00:00+00:00"", ""value"": 20.02230539382866}, {""timestamp"": ""2025-08-23T00:00:00+00:00"", ""value"": 15.912349025825781}, {""timestamp"": ""2025-08-24T00:00:00+00:00"", ""value"": 0.1322991650877208}, {""timestamp"": ""2025-08-25T00:00:00+00:00"", ""value"": 1.3063505863824372}, {""timestamp"": ""2025-08-26T00:00:00+00:00"", ""value"": 21.430161993965765}, {""timestamp"": ""2025-08-27T00:00:00+00:00"", ""value"": 0.15324703079307037}, {""timestamp"": ""2025-08-28T00:00:00+00:00"", ""value"": 3.5253940283551004}, {""timestamp"": ""2025-08-29T00:00:00+00:00"", ""value"": 21.256812194746058}, {""timestamp"": ""2025-08-30T00:00:00+00:00"", ""value"": 25.172157534254175}, {""timestamp"": ""2025-08-31T00:00:00+00:00"", ""value"": 20.352355815388474}, {""timestamp"": ""2025-09-01T00:00:00+00:00"", ""value"": 28.137140083408664}, {""timestamp"": ""2025-09-02T00:00:00+00:00"", ""value"": 23.257435589770385}, {""timestamp"": ""2025-09-03T00:00:00+00:00"", ""value"": 21.788217021749176}, {""timestamp"": ""2025-09-04T00:00:00+00:00"", ""value"": 15.82915317226427}, {""timestamp"": ""2025-09-05T00:00:00+00:00"", ""value"": 12.646764555302164}, {""timestamp"": ""2025-09-06T00:00:00+00:00"", ""value"": 11.450185237022156}, {""timestamp"": ""2025-09-07T00:00:00+00:00"", ""value"": 24.147005102459733}, {""timestamp"": ""2025-09-08T00:00:00+00:00"", ""value"": 17.712760694585047}, {""timestamp"": ""2025-09-09T00:00:00+00:00"", ""value"": 19.310217349573186}, {""timestamp"": ""2025-09-10T00:00:00+00:00"", ""value"": 20.47027101987123}, {""timestamp"": ""2025-09-11T00:00:00+00:00"", ""value"": 18.964053024526574}]",,,,
metrics,2025-09-18T17:26:08.878992,30,8.156821317006203,45.87750000000001,48.42625,,,,,,False,,,,,,,,,,,,,,,,,,
akaocr-ai-models,2025-08-16T00:00:00+00:00,30,,,,,,,,,False,,,,,,,,,,,,,,,58.0,,,
akaocr-ai-data,2025-08-16T00:00:00+00:00,30,,,,,,,,,False,,,,,,,,,,,,,,,2480029.0,,,
akainspection,2025-06-21T00:00:00+00:00,30,,,,,,,,,False,,,,,,,,,,,,,,,5009.0,,,
akaocr360-1,2025-07-14T09:00:00+00:00,30,4.124276765746142,4.9491321188953705,23.249254290326313,1195510165.1490414,1434612198.1788497,1221631180.8,1247.539838155798,,False,,,,,,,,,,,,,,,,88435528544.38438,,
eip-finops,2025-09-18T17:26:09.007117,30,,,,,,,,,False,,,,,,,,,,,,,,,,2306867.2,100.0,10.0
